Name,IATA,ICAO,Country,Active
Air Nigeria,,NGP,Nigeria,N
Air Cargo Carriers,2Q,SNC,United States,Y
Air Samarkand,,SND,Uzbekistan,N
Air Senegal International,V7,SNG,Senegal,N
Air Sandy,,SNY,Canada,N
Air Namibia,SW,NMB,Namibia,Y
Air Intersalonika,,NSK,Greece,N
Air Anatolia,,NTL,Turkey,N
Air Saigon,,SGA,Vietnam,N
Afrique Regional Airways,,AFW,Ivory Coast,N
Airfreight Express,,AFX,United Kingdom,N
Africa Chartered Services,,AFY,Nigeria,N
Africa Freight Services,,AFZ,Zambia,N
Aeronaves Del Centro,,AGA,Venezuela,N
Air Service Gabon,G8,AGB,Gabon,N
Arab Agricultural Aviation Company,,AGC,Egypt,N
Atlantic Gulf Airlines,,AGF,United States,N
Aerolitoral,5D,SLI,Mexico,Y
Algoma Airways,,AGG,Canada,N
Altagna,,AGH,France,N
Angola Air Charter,,AGO,Angola,N
Angola Air Charter,,AGO,Angola,N
AERFI Group,,AGP,Ireland,N
Aerogala,,AGQ,Chile,N
Amadeus Global Travel Distribution,1A,AGT,Spain,N
Angara Airlines,,AGU,Russia,N
Air Glaciers,7T,AGV,Switzerland,Y
Aero Gambia,,AGW,Gambia,N
Aviogenex,,AGX,Serbia,Y
Atlantic Coast Airlines,,BLR,United States,N
Aero Barloz,,BLZ,Mexico,N
Aeroper,PL,PLI,Peru,Y
Atlas Blue,8A,BMM,Morocco,Y
Aero Banobras,,BNB,Mexico,N
Aero Flight Service,,AGY,United States,N
Agrolet-Mci,,AGZ,Slovakia,N
Air Alpha Greenland,GD,AHA,Denmark,N
Azal Avia Cargo,,AHC,Azerbaijan,N
Airport Helicopter Basel,,AHE,AIRPORT HELICOPTER,N
Aeroservices Corporate,,CJE,France,N
Aspen Helicopters,,AHF,United States,N
Aerochago Airlines,,AHG,Dominican Republic,N
Airplanes Holdings,,AHH,Ireland,N
Air Hong Kong,LD,AHK,Hong Kong,N
Aerochiapas,,AHP,Mexico,N
Air Adriatic,,AHR,Croatia,N
Air Viggi San Raffaele,,AHS,Italy,N
ABC Air Hungary,,AHU,Hungary,N
Aeromist-Kharkiv,HT,AHW,Ukraine,N
Azerbaijan Airlines,J2,AHY,Azerbaijan,Y
Avies,U3,AIA,Estonia,Y
Airbus Industrie,AP,AIB,France,N
Alpine Air Chile,,AIH,Chile,N
Air Integra,,AII,Canada,N
ABC Aerolineas,,AIJ,Mexico,N
African Airlines International Limited,,AIK,Kenya,N
African International Airways,,AIN,Swaziland,N
Alpine Air Express,5A,AIP,United States,N
Alicante Internacional Airlines,,AIU,Spain,N
Aba Air,,ABP,Czech Republic,N
Airblue,ED,ABQ,Pakistan,Y
Airmark Aviation,,THM,Thailand,N
Airlift International,,AIR,United States,Y
Airest,,AIT,Estonia,N
Air Baffin,,BFF,Canada,N
Air Bandama,,BDM,Ivory Coast,N
Air Berlin,AB,BER,Germany,Y
Air Brousse,,ABT,Canada,N
Air Contractors,AG,ABR,Ireland,N
Air Illinois,,AIL,United States,N
Air India Limited,AI,AIC,India,Y
Air Inter Gabon,,AIG,Gabon,N
Air Bourbon,ZB,BUB,Reunion,Y
Air Atlanta Icelandic,CC,ABD,Iceland,Y
Air Inuit,,AIE,Canada,N
Air Sureste,,AIS,Spain,N
Air Srpska,RB,SBK,Bosnia and Herzegovina,N
Air Tahiti Nui,TN,THT,France,Y
Airvias S/A Linhas Aereas,,AIV,Brazil,N
Aero Services Executive,W4,BES,France,N
Atlantic Island Airways,,AIW,Canada,N
Aircruising Australia,,AIX,Australia,N
Aircrew Check and Training Australia,,AIY,Australia,N
Arkia Israel Airlines,IZ,AIZ,Israel,Y
A J Services,,AJA,United Kingdom,N
Aero JBR,,AJB,Mexico,N
Aero Jet Express,,AJE,Mexico,N
Avia Consult Flugbetriebs,,AJF,Austria,N
Ameristar Jet Charter,,AJI,United States,N
A2 Jet Leasing,,AJJ,United States,N
Allied Air,,AJK,Nigeria,N
Air Jamaica,JM,AJM,Jamaica,Y
Air One,AP,ADH,Italy,Y
Air Sahara,S2,RSH,India,Y
Air Malta,KM,AMC,Malta,Y
Aeroejecutivo,,AJO,Mexico,N
Aero Jets Corporativos,,AJP,Mexico,N
Aeroejecutivos Colombia,,AJS,Colombia,N
Amerijet International,M6,AJT,United States,N
Air Jetsul,,AJU,Portugal,N
ANA & JP Express,,AJV,Japan,N
Alpha Jet International,,AJW,United States,N
Air Japan,NQ,AJX,Japan,Y
Ajet,,AJY,Cyprus,N
Air Korea Co. Ltd.,,AKA,Republic of Korea,Y
Air Livonia,,LIV,Estonia,N
Air BC,,ABL,Canada,N
Air Fret Senegal,,ABN,Senegal,N
Air Jamahiriya Company,,LJA,Libya,N
Aktjubavia,,AKB,Kazakhstan,N
Arca Aerovias Colombianas Ltda.,,AKC,Colombia,N
Anikay Air Company,,AKF,Kyrgyzstan,N
Akhal,,AKH,Turkmenistan,N
Aeromilenio,,MNI,Mexico,N
Aklak Air,,AKK,Canada,N
Air Kiribati,4A,AKL,Kiribati,Y
Alkan Air,,AKN,Canada,N
Angkor Airways,,AKW,Cambodia,N
Air Nippon Network Co. Ltd.,EH,AKX,Japan,N
AK Navigator LLC,,AKZ,Kazakhstan,N
Aero Albatros,,ALB,Mexico,N
Albion Aviation,,ALD,United Kingdom,N
Aeroalas Colombia,,ALE,Colombia,N
Allied Command Europe (Mobile Force),,ALF,Belgium,N
Aerotaxis Albatros,,BTS,Mexico,N
American Flyers,,FYS,United States,N
Aero Coach Aviation,,DFA,United States,N
Atlantic Southeast Airlines,,CAA,United States,N
ACM Air Charter,,BVR,Germany,N
Air Logistics,,ALG,United States,N
Aerovallarta,,ALL,Mexico,N
Air ALM,,ALM,Netherlands Antilles,N
Air Lincoln,,ALN,United States,N
America West Airlines,HP,AWE,United States,Y
Air Wisconsin,ZW,AWI,United States,Y
Aerotransporte de Carga Union,,TNO,Mexico,N
Aero Taxis Cessna,,TND,Mexico,N
Arizona Express Airlines,,TMP,United States,N
Tatarstan Airlines,U9,TAK,Russia,Y
Allegheny Commuter Airlines,,ALO,United States,Y
Alpliner AG,,ALP,Switzerland,N
Altair Aviation (1986),,ALQ,Canada,N
Air Luxor STP,,ALU,Sao Tome and Principe,N
Alas de Venezuela,,ALV,Venezuela,N
Alas Nacionales,,ALW,ALNACIONAL,N
Alyeska Air Service,,ALY,United States,N
Alta Flights (Charters) Ltd.,,ALZ,Canada,N
Air Sunshine,,RSI,United States,Y
ATMA,,AMA,Kazakhstan,N
Aerolineas Medellin,,AMD,Colombia,N
Ameriflight,,AMF,United States,N
Air Libert,VD,,France,Y
Air Lithuania,TT,KLA,Lithuania,N
Air Minas Linhas A,,AMG,Brazil,N
Alan Mann Helicopters Ltd.,,AMH,United Kingdom,N
Air Maldives,,AMI,Maldives,N
Aviation Amos,,AMJ,Canada,N
Amerer Air,,AMK,Austria,N
Air Malawi,QM,AML,Malawi,Y
Aeroputul International Marculesti,,AMM,Moldova,N
Air Montenegro,,AMN,Montenegro,N
Air Montreal (Air Holdings Inc.),,AMO,Canada,N
Aero Transporte S.A. (ATSA),,AMP,Peru,N
Aeromedicare Ltd.,,AMQ,United Kingdom,N
Air Sicilia,BM,,Italy,Y
Air Specialties Corporation,,AMR,United States,N
Air Muskoka,,AMS,Canada,N
ATA Airlines,,AMT,United States,Y
Air Macau,NX,AMU,Macao,Y
AMC Airlines,,AMV,Egypt,Y
Air Midwest,ZV,AMW,United States,N
Air Seychelles,HM,SEY,Seychelles,Y
Air Sofia,,SFB,Bulgaria,N
AeroMéxico,AM,AMX,Mexico,Y
Air Ambar,,AMY,Dominican Republic,N
Amiya Airline,,AMZ,Nigeria,N
All Nippon Airways,NH,ANA,Japan,Y
Air Navigation And Trading Co. Ltd.,,ANB,United Kingdom,N
Anglo Cargo,,ANC,United Kingdom,N
Air Nostrum,YW,ANE,Spain,Y
Air Niugini,PX,ANG,Papua New Guinea,Y
Air Arabia,G9,ABY,United Arab Emirates,Y
Air Canada,AC,ACA,Canada,Y
Airport Bratsk,,BRP,Russia,N
Air Wings,,BSB,Moldova,N
Air Baltic,BT,BTI,Latvia,Y
Alajnihah for Air Transport,,ANH,Libya,N
Air Atlantic (Nig) Limited,,ANI,Nigeria,N
Air Nippon,EL,ANK,Japan,Y
Antares Airtransport,,ANM,ANTARES,N
Airnorth,TL,ANO,Australia,Y
Aerol,,ANQ,Colombia,N
Andes Lineas Aereas,,ANS,Argentina,N
Air North Charter - Canada,4N,ANT,Canada,Y
Air Nevada,,ANV,United States,N
AOM French Airlines,IW,AOM,France,N
Aviacion Del Noroeste,,ANW,AVINOR,N
Air New Zealand,NZ,ANZ,New Zealand,Y
Avia Jaynar,,SAP,Kazakhstan,N
Aero Servicios Empresariales,,EMS,Mexico,N
Alcon Servicios Aereos,,AOA,ALCON,N
AVCOM,J6,AOC,Russia,N
Aero Vodochody,,AOD,Czech Republic,N
Air One Executive,,AOE,Italy,N
Atair Pty Ltd.,,AOF,South Africa,N
Aero VIP,2D,AOG,Argentina,N
Aeromundo Ejecutivo,,MUN,Mexico,N
Aerolinea Muri,,MUR,Mexico,N
Astoria,,AOI,ASTORIA,N
Aero Rent JSC,,NRO,Russia,N
Aeronord-Grup,,NRP,Moldova,N
Aeroatlantico Colombia,,AOK,Colombia,N
Angkor Airlines,,AOL,Cambodia,N
Aero Entreprise,,AON,France,N
As,,AOO,COMPANY AS,N
Aeropiloto,,AOP,Portugal,N
Aeroenlaces Nacionales,,VIV,Mexico,N
Aerovis Airlines,,VIZ,Ukraine,N
Avjet International (FZE),,VJE,United Arab Emirates,N
Aerovista Gulf Express,,VGF,United Arab Emirates,N
Air Vegas,6V,VGA,United States,N
Almaver,,VER,Mexico,N
